details,start_time,end_time
dishwasher-eco-normal-1,2023-09-26 21:28:32.000,2023-09-26 23:49:27.000
dishwasher-eco-normal-2,2023-09-27 21:01:16.000,2023-09-27 23:17:14.000
dishwasher-eco-normal-3,2023-09-28 20:24:59.000,2023-09-28 22:39:49.000
washing-machine-eco-normal-1,2023-09-27 09:57:54.000,2023-09-27 13:19:32.000
washing-machine-easycare-30c-speedperfect-1,2023-09-29 14:54:00.000,2023-09-29 15:54:00.000
dishwasher-auto-speedperfect-1,2023-09-29 16:54:00.000,2023-09-29 18:04:00.000
dishwasher-auto-normal-1,2023-09-29 21:56:00.000,2023-09-29 23:49:00.000
dishwasher-auto-normal-2,2023-09-30 21:08:00.000,2023-09-30 22:12:00.000
dishwasher-auto-normal-3,2023-10-01 15:40:00.000,2023-10-01 17:15:00.000
dishwasher-eco-speedperfect-1,2023-10-01 20:10:00.000,2023-10-01 21:09:00.000
dishwasher-quickwash-and-dry-1,2023-10-02 21:33:00.000,2023-10-02 22:09:00.000